rural_or_urban,state_name,district_name,block_tehsil_name,town_municipality_name,village_name,ward_name,serial_number,enumeration_date,water_body_present_sac_data,unique_id,water_body_name,basin_name,sub_basin_name,water_body_type,nature_of_storage,khasra_number,latitude,longitude,water_body_location,ownership,water_body_in_use,water_body_uses_1,water_body_uses_2,water_body_uses_3,cca_water_body,ipc_water_body,not_in_use_reason,water_body_nature,manmade_water_body_type,construction_year,construction_cost,renovation_year,renovation_cost,water_body_presently_under_repair_renovation_restoration,scheme_under_revival_done,scheme_inclusion_year,targeted_completion_year,estimated_cost,targeted_potential_revival,irrigation_potential_revived,associated_with_central_scheme,central_scheme_name,water_throughout_year,number_months,water_spread_area_reference_year,water_spread_area_current_year,minimum_water_spread_area,maximum_water_spread_area,max_depth_water_body_fully_filled,storage_capacity_water_body_original,storage_capacity_water_body_present,filled_up_storage,presence_of_silt,filled_up_storage_space,no_of_town_cities_benefited,no_of_villages_benefited,no_people_benefited_by_water_body,wua_exists,extent_of_area_covered_by_wua,number_of_wua_formed,dip_sip_exists,water_body_encroached,encroachment_assessed,area_encroached_percentage,standalone_or_connected,number_of_connected_water_bodies,captured_in_previous_census,enumerator_name,image_path,created_on,remark
Rural,GOA,North Goa,Bardez,,Assonora,,1,2026-05-04,No,1/30/551/005929/0626668/0001,kajryachi pati,,,Ponds,,0/0,15.6182686,73.8958697,Others,Group of Individuals,Yes,,Ground water recharge,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,100.0,100.0,70.0,80.0,3.0,200000.0,200000.0,Upto 1/2,Yes,Usually filled up,0.0,0.0,0.0,Not Known,,,No,No,,,1-Standalone,,No,DIVYA PARULEKAR,MIC_2682244.jpeg,2026-05-04 13:02:47.987,ponds is in bad condition 
Rural,GOA,North Goa,Bardez,,Tivim,,1,2026-05-04,Yes,1/30/551/005929/0626670/0001,Mahaganapati Temple Tank ,,,Tank,,522/2,15.6269217,73.8411833,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Man-made,Masonary,1983.0,500000.0,2020.0,300000.0,No,,,,,,,No,,Yes,,2762.0,2762.0,2700.0,2762.0,3.0,8286.0,2762.0,Full,Yes,Filled up every year,0.0,1.0,0.0,Not Known,,,No,No,,,2-Connected,1.0,Yes,ASHWINI N HODARKAR,MIC_2682708.jpeg,2026-05-04 15:33:50.171,Good condition
Rural,GOA,North Goa,Bardez,,Tivim,,2,2026-05-04,Yes,1/30/551/005929/0626670/0002,Ruichi - pati,,,Ponds,,528/15,15.6258467,73.8441533,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1884.0,1884.0,1700.0,1884.0,1.27,2402.0,1700.0,Full,Yes,Filled up every year,0.0,1.0,0.0,No,,,No,No,,,1-Standalone,,Yes,ASHWINI N HODARKAR,MIC_2682735.jpeg,2026-05-04 15:36:44.327,needs maintenance 
Rural,GOA,North Goa,Bardez,,Tivim,,3,2026-05-04,Yes,1/30/551/005929/0626670/0003,Mining pit,,,Others,,78/17,15.647785,73.8780083,Others,Other private body,Yes,Ground water recharge,,,,,,Man-made,Others,2000.0,500000.0,,,No,,,,,,,No,,No,6-9 months,16665.0,16665.0,1000.0,16665.0,17.0,,,,Yes,,0.0,1.0,1.0,Not Known,,,No,No,,,1-Standalone,,No,ASHWINI N HODARKAR,MIC_2682827.jpeg,2026-05-04 15:52:29.865,mining pit
Rural,GOA,North Goa,Bardez,,Tivim,,4,2026-05-04,Yes,1/30/551/005929/0626670/0004,Private Tank,,,Ponds,,79/1,15.6481495,73.8777169,Others,Other private body,Yes,Ground water recharge,Irrigation,,10000.0,10000.0,,Man-made,Masonary,2012.0,1000000.0,,,No,,,,,,,No,,Yes,,1278.0,1278.0,800.0,1278.0,2.5,3195.0,1000.0,Full,Yes,Filled up every year,0.0,1.0,1.0,No,,,No,No,,,1-Standalone,,No,ASHWINI N HODARKAR,MIC_2682831.jpeg,2026-05-04 15:54:00.531,Needs repairs
Rural,GOA,North Goa,Bardez,,Tivim,,5,2026-05-04,Yes,1/30/551/005929/0626670/0005,Wadye Tank,,,Tank,,47/13,15.6379417,73.8670733,Others,Other private body,Yes,Irrigation,Ground water recharge,,1256.0,1256.0,,Man-made,Masonary,2004.0,1500000.0,,,No,,,,,,,No,,Yes,,98.0,98.0,90.0,98.0,2.0,200.0,150.0,Full,Yes,Filled up every year,0.0,1.0,1.0,Not Known,,,No,No,,,2-Connected,1.0,No,ASHWINI N HODARKAR,MIC_2682838.jpeg,2026-05-04 15:55:31.047,Needs repairs
Rural,GOA,North Goa,Bardez,,Tivim,,6,2026-05-04,No,1/30/551/005929/0626670/0006,Sequeirawada Tank,,,Tank,,106/9,15.6330173,73.8712633,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Man-made,Masonary,2005.0,490000.0,,,No,,,,,,,No,,Yes,,261.0,261.0,25.0,261.0,2.55,666.0,20.0,Full,Yes,Filled up every year,0.0,1.0,1.0,Yes,1.0,1.0,No,No,,,2-Connected,1.0,No,ASHWINI N HODARKAR,MIC_2682841.jpeg,2026-05-04 15:57:08.979,Need repairs
Rural,GOA,North Goa,Bardez,,Tivim,,7,2026-05-04,Yes,1/30/551/005929/0626670/0007,pond,,,Ponds,,505/0,15.635,73.848135,Others,Group of Individuals,No,,,,,,Dried-up,Natural,,,,,,No,,,,,,,No,,No,less than 6 months,1003.0,1003.0,0.0,1003.0,1.0,1003.0,500.0,Full,Yes,Usually filled up,0.0,1.0,0.0,No,,,No,No,,,1-Standalone,,No,ASHWINI N HODARKAR,MIC_2683190.jpeg,2026-05-04 17:49:42.089,dried.. need maintenance 
Rural,GOA,North Goa,Bardez,,Tivim,,8,2026-05-04,Yes,1/30/551/005929/0626670/0008,Holy Cross patar pond,,,Ponds,,44/40,15.6367783,73.86491,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,1832.0,1832.0,1100.0,1832.0,1.5,2700.0,1800.0,Full,Yes,Filled up every year,0.0,1.0,0.0,Not Known,,,No,No,,,2-Connected,1.0,No,ASHWINI N HODARKAR,MIC_2683228.jpeg,2026-05-04 18:07:19.909,needs maintenance 
Rural,GOA,North Goa,Bardez,,Assagao,,1,2026-04-30,No,1/30/551/005929/0626672/0001,Audumbar Dattaram Temple Tank Valle,,,Tank,,172/39,15.5997854,73.7940293,Others,Group of Individuals,Yes,Ground water recharge,,,,,,Natural,,,,,,No,,,,,,,No,,Yes,,24.6,24.6,12.3,24.12,2.0,12.6,12.6,Full,No,Filled up every year,1.0,1.0,260.0,No,,,No,No,,,1-Standalone,,No,VIKAS FATARPEKAR,MIC_2670573.jpeg,2026-04-30 10:19:47.215,
